Ranking,Region,Cat Ownership Rate 2016
1,Vermont,44.6
2,Maine,43.6
3,West Virginia,37.7
4,Indiana,37.5
5,New Hampshire,36.4
6,Iowa,35.6
7,Arkansas,34.8
8,Idaho,33.3
9,Kansas,32.4
9,Wisconsin,32.4
11,Kentucky,32.2
12,Michigan,31.2
13,Nebraska,30.9
13,Tennessee,30.9
15,Ohio,30.7
16,Washington,30.5
17,Wyoming,30
17,Oregon,30
19,Mississippi,29.1
20,Pennsylvania,28.9
21,Missouri,28.6
22,Oklahoma,28.4
23,Colorado,27.1
24,Connecticut,26.7
25,South Dakota,26.6
26,Minnesota,26.5
26,North Carolina,26.5
28,Arizona,26.4
29,Alabama,26.1
30,South Carolina,25.2
30,New Mexico,25.2
32,North Dakota,24.8
33,Utah,24.7
34,Florida,24.2
35,Delaware,24.1
36,Virginia,23.9
37,Massachusetts,23.5
38,Nevada,23.1
39,California,22.9
40,Montana,22.8
41,New York,21.1
42,Illinois,21
43,Texas,20.5
44,Georgia,20.4
45,Louisiana,19
46,New Jersey,18.9
47,Maryland,18.6
48,Rhode Island,16.7