Ranking,Region,Dog Ownership Rate 2016
1,Idaho,58.3
2,Montana,51.9
3,Arkansas,51.6
4,Mississippi,51
5,West Virginia,49.6
6,Indiana,49.4
7,Oklahoma,47.7
8,Colorado,47.2
9,Nebraska,47.1
10,Tennessee,47
11,Alabama,46.9
12,Kentucky,46.5
13,South Carolina,45.3
14,Missouri,45.1
15,North Dakota,44.3
16,Texas,43.4
17,Kansas,43.1
18,Arizona,43
19,Washington,42.8
20,Delaware,42.2
21,Michigan,41.9
22,North Carolina,41.3
23,California,40.1
24,Florida,39.8
25,New Mexico,39.4
26,Pennsylvania,38.9
27,Louisiana,38.3
28,Ohio,37.9
29,Oregon,37.8
30,Nevada,36.8
31,Georgia,36.7
32,Iowa,36.3
33,Utah,36.2
34,Wyoming,36
35,Maine,35.9
36,Virginia,35.6
37,Minnesota,35.5
38,Wisconsin,33.6
39,South Dakota,32.1
40,Illinois,31
41,Maryland,30.2
42,New Jersey,29.1
43,Massachusetts,28.9
44,Vermont,28.3
45,New York,27
46,Rhode Island,25.8
47,Connecticut,24
48,New Hampshire,23.7